NRO_DOC_FISCAL,RUC,RAZON_SOCIAL,COD_CLIENTE,COD_CUENTA,FUENTE,SISTEMA,FECHA_EMISION,FECHA_VTO,MONEDA,CHARGE_NET_AMOUNT,CHARGE_IGV_INVOICE,CHARGE_TOTAL_AMOUNT,origen_fecha_vto_mal_formada,total_pagado,cantidad_pagos,requirio_correccion_formato,total_nota_credito,monto_neto_a_pagar,diferencia,esta_vencida,estado_conciliacion,diferencia_es_trivial_redondeo
S9AA-0081841105,1031024653,CLIENT_00975,77371095,521620406,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,93.08,16.75,109.83,False,109.83,1,False,0.0,109.83,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082084350,2028712026,CLIENT_00204,50691516,652026606,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,152.4,27.43,179.83,False,179.83,1,False,0.0,179.83,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082334916,2056036658,CLIENT_00097,43899716,793398606,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,74.69,13.44,88.13,False,88.13,1,False,0.0,88.13,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082103906,2050836779,CLIENT_00070,702465221,263158937,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,115.26,20.75,136.01,False,136.01,1,False,0.0,136.01,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007641442,2086851615,CLIENT_00905,455932421,176083247,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,40.05,7.2,47.25,False,47.25,1,False,0.0,47.25,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082188090,2028712026,CLIENT_00204,71891516,82026606,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,95.87,17.26,113.12,False,113.12,1,False,0.0,113.12,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082271094,2067392845,CLIENT_00917,62874416,429371067,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,94.86,17.07,111.93,False,111.93,1,False,0.0,111.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081899772,2089896350,CLIENT_00217,38546016,135880167,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,68.16,12.27,80.43,False,80.43,1,False,0.0,80.43,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081772450,2010399017,CLIENT_00723,96621595,683815406,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,100.55,18.1,118.65,False,118.65,1,False,0.0,118.65,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081763816,2042422772,CLIENT_00369,86640595,770715406,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,90.71,16.32,107.03,False,107.03,1,False,0.0,107.03,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082140758,2073133607,CLIENT_00035,119545331,16136757,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,47.4,8.53,55.93,False,55.93,1,False,0.0,55.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081889821,2002302343,CLIENT_00020,281114021,509180557,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,44.2,7.95,52.15,False,52.15,1,False,0.0,52.15,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007577549,2095839381,CLIENT_00231,433723521,437853447,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,59.26,10.67,69.93,False,69.93,1,False,0.0,69.93,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007629596,2000357153,CLIENT_00510,157860721,105625747,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,66.75,12.01,78.75,False,78.75,1,False,0.0,78.75,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081671369,2010945037,CLIENT_00252,95990595,158692337,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,90.71,16.32,107.03,False,107.03,1,False,0.0,107.03,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081979255,2039714658,CLIENT_00290,39441885,564428306,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,159.33,28.69,188.02,False,188.02,1,False,0.0,188.02,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082117647,2063051543,CLIENT_00629,90065095,504460406,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,72.02,12.96,84.98,False,84.98,1,False,0.0,84.98,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007504937,2023184952,CLIENT_00156,12480921,236896057,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,17.79,3.21,21.0,False,21.0,1,False,0.0,21.0,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007640656,2049062431,CLIENT_00233,359002531,908571067,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,23.44,4.21,27.65,False,27.65,1,False,0.0,27.65,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007782391,2000414951,CLIENT_00221,305626821,438010057,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,17.79,3.21,21.0,False,21.0,1,False,0.0,21.0,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081913288,2096711703,CLIENT_00428,581765021,189262437,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,122.08,21.98,144.06,False,144.06,1,False,0.0,144.06,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081758584,2067006652,CLIENT_00878,76781206,77143147,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,10.39,1.86,12.25,False,12.25,1,False,0.0,12.25,0.0,True,CONCILIADA_EXACTA,True
